City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
274,Saint-Joseph,RE,2021-09-22 22:46:53,-21.3667,55.6167,64.78,80,34,9.19
275,Poum,NC,2021-09-22 22:46:53,-20.2333,164.0167,71.42,64,50,20.74
276,Kangaatsiaq,GL,2021-09-22 22:46:54,68.3065,-53.4641,29.73,73,90,9.35
277,La Asuncion,VE,2021-09-22 22:46:54,11.0333,-63.8628,89.33,58,33,12.66
278,Richards Bay,ZA,2021-09-22 22:46:55,-28.783,32.0377,58.64,78,0,7.02
279,Dori,BF,2021-09-22 22:46:55,14.0354,-0.0345,82.87,62,32,18.99
280,Lavrentiya,RU,2021-09-22 22:46:55,65.5833,-171.0,33.42,56,26,4.68
281,Sylvan Lake,CA,2021-09-22 22:46:56,52.3168,-114.0853,65.05,52,75,6.91
282,Nara,JP,2021-09-22 22:46:56,34.6851,135.8049,74.48,81,0,4.9
283,Tsabong,BW,2021-09-22 22:46:56,-26.0217,22.401,64.85,48,1,16.53
284,Aras,ES,2021-09-22 22:46:57,42.5617,-2.356,58.06,94,0,1.14
285,Suileng,CN,2021-09-22 22:46:57,47.25,127.0833,50.95,84,99,6.33
286,Teguise,ES,2021-09-22 22:46:57,29.0605,-13.564,68.22,73,20,5.75
287,Murray Bridge,AU,2021-09-22 22:46:58,-35.1167,139.2667,57.13,70,0,6.22
288,Vestmanna,FO,2021-09-22 22:46:58,62.1564,-7.1664,47.32,93,90,13.8
289,Ukiah,US,2021-09-22 22:45:04,39.1502,-123.2078,97.12,19,1,4.61
290,Kuvshinovo,RU,2021-09-22 22:46:58,57.0295,34.1725,39.58,99,100,3.74
291,Bull Savanna,JM,2021-09-22 22:46:59,17.8868,-77.5902,79.79,78,100,2.93
292,Ca Mau,VN,2021-09-22 22:46:59,9.1769,105.15,78.3,87,100,3.22
293,Nouadhibou,MR,2021-09-22 22:46:59,20.931,-17.0347,69.78,83,0,16.11
