City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
481,Kodinar,IN,79.68,overcast clouds,20.7903,70.7031,residency of N.B vadhel
483,Seddon,AU,64.67,broken clouds,-37.8068,144.8916,Footscray Motor Inn
485,Huaura,PE,66.74,scattered clouds,-11.07,-77.5994,Hotel Restaurant Turístico Casablanca
486,Kumluca,TR,73.94,scattered clouds,36.3703,30.2869,TurkuazKöy
487,Eureka,US,79.66,scattered clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
488,Ilhabela,BR,68.94,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
489,Pasni,PK,85.15,overcast clouds,25.2631,63.471,Kashmiri Hotal
490,Ribas Do Rio Pardo,BR,87.49,broken clouds,-20.4431,-53.7592,Pousada Avenida
491,Coari,BR,77.88,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
494,Banda Aceh,ID,78.17,overcast clouds,5.5577,95.3222,Sulthan Hotel International
496,Ponta Delgada,PT,71.51,few clouds,37.7333,-25.6667,Vila Nova Hotel
497,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
498,Yenagoa,NG,75.13,heavy intensity rain,4.9247,6.2642,Aridolf Resort Wellness and Spa
501,West Des Moines,US,83.26,few clouds,41.572,-93.7453,Sheraton West Des Moines Hotel
503,Ulladulla,AU,66.87,overcast clouds,-35.35,150.4667,Sandpiper Motel
505,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
506,Bahar,IR,60.55,clear sky,34.9072,48.4414,محمد رضا علیزاده
507,Mendota,US,88.02,clear sky,36.7536,-120.3816,MAA
509,Angoche,MZ,73.92,clear sky,-16.2325,39.9086,Guest House HESADA
511,Loralai,PK,72.45,clear sky,30.3705,68.598,Sana Poultry Loralai
513,Sola,VU,79.65,overcast clouds,-13.8833,167.55,Leumerus Bungalows
517,Northam,GB,61.39,overcast clouds,51.0333,-4.2167,Durrant House Hotel
519,Kulhudhuffushi,MV,81.97,overcast clouds,6.6221,73.07,Hondaafushi Island Resort
520,Palpa,PE,74.59,scattered clouds,-14.5336,-75.1856,Palpa Lines
